prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
AMITRIPTYLINE,[],Small molecule,depressive disorder,"Sodium-dependent noradrenaline transporter, Sodium-dependent serotonin transporter","SLC6A2, SLC6A4",Transporter,"Norepinephrine transporter inhibitor, Serotonin transporter inhibitor"
AMIVANTAMAB,['Rybrevant'],Antibody,"neoplasm, non-small cell lung carcinoma","Epidermal growth factor receptor, Hepatocyte growth factor receptor","EGFR, MET","Enzyme, Unclassified protein","Epidermal growth factor receptor erbB1 inhibitor, Hepatocyte growth factor receptor inhibitor"
AMLEXANOX,['Amlexanox' 'Aphthasol'],Small molecule,Airway obstruction,Phosphodiesterase 4,"PDE4A, PDE4B, PDE4C, PDE4D",Enzyme,Phosphodiesterase 4 inhibitor
AMLODIPINE,['Astudal 5' 'Istin' 'Norvas' 'Norvasc'],Small molecule,cardiovascular disease,Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
AMLODIPINE BENZOATE,['Katerzia'],Small molecule,hypertension,Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
AMLODIPINE BESYLATE,"['Amlodipine besylate' 'Amlodipine besylate component of amlessa'
 'Amlodipine besylate component of amturnide'
 'Amlodipine besylate component of azor'
 'Amlodipine besylate component of caduet'
 'Amlodipine besylate component of consensi'
 'Amlodipine besylate component of copalia'
 'Amlodipine besylate component of dafiro  amlodipine besilate'
 'Amlodipine besylate component of dafiro-hct  amlodipine besilate'
 'Amlodipine besylate component of exforge'
 'Amlodipine besylate component of exforge  amlodipine besilate'
 'Amlodipine besylate component of exforge hct'
 'Amlodipine besylate component of exforge-hct  amlodipine besilate'
 'Amlodipine besylate component of imprida  amlodipine besilate'
 'Amlodipine besylate component of imprida-hct  amlodipine besilate'
 'Amlodipine besylate component of lotrel'
 'Amlodipine besylate component of onduarp'
 'Amlodipine besylate component of prestalia'
 'Amlodipine besylate component of tekamlo'
 'Amlodipine besylate component of tribenzor'
 'Amlodipine besylate component of twynsta' 'Norliqva' 'Norvasc']",Small molecule,"Hypercholesterolemia, Prinzmetal's angina, angina pectoris, congestive heart failure, coronary artery disease, diabetes mellitus, familial hypercholesterolemia, heart failure, hyperlipidemia, hypertension, myocardial infarction, osteoarthritis, stroke",Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
AMPHETAMINE,"['Adzenys er' 'Adzenys xr-odt' 'Dyanavel xr'
 'Mydayis (mixed salts of a single entity)']",Small molecule,attention deficit hyperactivity disorder,"Sodium-dependent dopamine transporter, Sodium-dependent noradrenaline transporter","SLC6A2, SLC6A3",Transporter,"Dopamine transporter releasing agent, Norepinephrine transporter releasing agent"
AMPHETAMINE SULFATE,"['Amphetamine sulfate' 'Amphetamine sulfate component of delcobese'
 'Amphetamine sulfate component of mydayis' 'Evekeo' 'Evekeo odt']",Small molecule,"attention deficit hyperactivity disorder, narcolepsy-cataplexy syndrome, obesity","Sodium-dependent dopamine transporter, Sodium-dependent noradrenaline transporter","SLC6A2, SLC6A3",Transporter,"Dopamine transporter releasing agent, Norepinephrine transporter releasing agent"
AMSACRINE,['Amsidyl'],Small molecule,neoplasm,DNA topoisomerase II,"TOP2A, TOP2B",Enzyme,DNA topoisomerase II inhibitor
ANAGRELIDE,[],Small molecule,neoplasm,Phosphodiesterase 3,"PDE3A, PDE3B",Enzyme,Phosphodiesterase 3 inhibitor
ANAGRELIDE HYDROCHLORIDE,"['Agrelin' 'Agrylin' 'Anagrelide hydrochloride' 'Anagrelide mylan'
 'Anagrelide viatris (previously anagrelide mylan)' 'Xagrid']",Small molecule,"Recurrent thrombophlebitis, essential thrombocythemia, myeloproliferative disorder, thrombotic disease",Phosphodiesterase 3,"PDE3A, PDE3B",Enzyme,Phosphodiesterase 3 inhibitor
ANAKINRA,['Antril' 'Kineret'],Protein,"CINCA syndrome, immune system disease, rheumatoid arthritis",Interleukin-1 receptor type 1,IL1R1,Membrane receptor,Interleukin-1 receptor antagonist
ANASTROZOLE,['Anastrozole' 'Arimidex' 'Nastrosa'],Small molecule,"breast cancer, breast carcinoma, breast neoplasm, neoplasm",Aromatase,CYP19A1,"Enzyme, Unclassified protein",Cytochrome P450 19A1 inhibitor
ANDEXANET ALFA,['Ondexxya'],Protein,drug toxicity,Tissue factor pathway inhibitor,TFPI,Unclassified protein,Tissue factor pathway inhibitor inhibitor
ANGIOTENSIN II,[],Protein,cardiovascular disease,Type-1 angiotensin II receptor,AGTR1,Membrane receptor,Type-1 angiotensin II receptor agonist
ANGIOTENSIN II ACETATE,['Giapreza'],Protein,"Shock, hypotension, septic shock",Type-1 angiotensin II receptor,AGTR1,Membrane receptor,Type-1 angiotensin II receptor agonist
ANIFROLUMAB,['Saphnelo'],Antibody,systemic lupus erythematosus,Interferon alpha/beta receptor 1,IFNAR1,Membrane receptor,Interferon-alpha/beta receptor alpha chain antagonist
ANISTREPLASE,['Eminase'],Enzyme,Recurrent thrombophlebitis,Plasminogen,PLG,Enzyme,Plasminogen activator
"ANTIHEMOPHILIC FACTOR, PEGYLATED (MW 20000) HUMAN SEQUENCE RECOMBINANT",['Adynovi'],Unknown,hemophilia A,Coagulation factor VIII,F8,"Enzyme, Secreted protein",Coagulation factor VIII exogenous protein
ANTIPYRINE,[],Small molecule,"Fever, Pain",Prostaglandin G/H synthase 1,PTGS1,Enzyme,Cyclooxygenase-1 inhibitor
ANTITHROMBIN ALFA,['Atryn'],Protein,Reduced antithrombin III activity,"Coagulation factor X, Prothrombin","F10, F2","Enzyme, Secreted protein","Coagulation factor X inhibitor, Thrombin inhibitor"
APALUTAMIDE,['Erleada'],Small molecule,"neoplasm, prostate adenocarcinoma, prostate cancer, prostate carcinoma",Androgen receptor,AR,Transcription factor,Androgen Receptor antagonist
APAZONE,['Rheumox' 'Rheumox 600'],Small molecule,rheumatic disease,Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
APIXABAN,['Apixaban accord' 'Eliquis'],Small molecule,"Recurrent thrombophlebitis, atrial fibrillation, deep vein thrombosis, pulmonary embolism, stroke, thrombotic disease, venous thromboembolism",Coagulation factor X,F10,"Enzyme, Secreted protein",Coagulation factor X inhibitor
APOMORPHINE,[],Small molecule,"Parkinson disease, erectile dysfunction",D2-like dopamine receptor,"DRD2, DRD3, DRD4",Membrane receptor,D2-like dopamine receptor agonist
APRACLONIDINE,['Iopidine'],Small molecule,glaucoma,Adrenergic receptor alpha-2,"ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha-2 agonist
APREMILAST,['Apremilast accord' 'Otezla'],Small molecule,"Oral ulcer, immune system disease, psoriasis, psoriasis vulgaris, psoriatic arthritis, pustulosis palmaris et plantaris",Phosphodiesterase 4,"PDE4A, PDE4B, PDE4C, PDE4D",Enzyme,Phosphodiesterase 4 inhibitor
APREPITANT,['Aponvie' 'Aprepitant' 'Cinvanti' 'Emend'],Small molecule,"Chemotherapy-induced nausea and vomiting, Nausea, Nausea and vomiting, Vomiting, cancer, post operative nausea and vomiting",Substance-P receptor,TACR1,Membrane receptor,Neurokinin 1 receptor antagonist
APROTININ,['Trasylol'],Unknown,hemorrhage,"Plasma kallikrein, Plasminogen","KLKB1, PLG",Enzyme,"Plasma kallikrein inhibitor, Plasminogen inhibitor"
ARCITUMOMAB,['Cea-scan'],Antibody,"colorectal neoplasm, radiologic finding",Carcinoembryonic antigen-related cell adhesion molecule 5,CEACAM5,Adhesion,Carcinoembryonic antigen-related cell adhesion molecule 5 binding agent
ARFORMOTEROL TARTRATE,['Brovana'],Small molecule,"chronic bronchitis, chronic obstructive pulmonary disease, emphysema",Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
ARGATROBAN,"['Acova' 'Argatroban' 'Argatroban in dextrose'
 'Argatroban in sodium chloride' 'Novastan']",Small molecule,"Recurrent thrombophlebitis, Thrombocytopenia, thrombotic disease",Prothrombin,F2,Enzyme,Thrombin inhibitor
ARIPIPRAZOLE,"['Abilify' 'Abilify asimtufii' 'Abilify maintena' 'Abilify maintena kit'
 'Abilify mycite kit' 'Aripiprazole' 'Aripiprazole accord'
 'Aripiprazole mylan pharma (previously aripiprazole pharmathen)'
 'Aripiprazole sandoz' 'Aripiprazole zentiva' 'Opipza']",Small molecule,"Agitation, Tourette syndrome, aggressive behavior, autism, bipolar I disorder, bipolar disorder, depressive disorder, major depressive disorder, psychosis, schizoaffective disorder, schizophrenia","5-hydroxytryptamine receptor 1A, 5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR1A, HTR2A",Membrane receptor,"Dopamine D2 receptor partial agonist, Serotonin 1a (5-HT1a) receptor partial agonist, Serotonin 2a (5-HT2a) receptor antagonist"
ARIPIPRAZOLE LAUROXIL,['Aristada' 'Aristada initio kit'],Small molecule,schizophrenia,"5-hydroxytryptamine receptor 1A, 5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR1A, HTR2A",Membrane receptor,"Dopamine D2 receptor partial agonist, Serotonin 1a (5-HT1a) receptor partial agonist, Serotonin 2a (5-HT2a) receptor antagonist"
ARMODAFINIL,['Armodafinil' 'Nuvigil'],Small molecule,"Sleep Disorder, attention deficit hyperactivity disorder, narcolepsy-cataplexy syndrome, obstructive sleep apnea",Sodium-dependent dopamine transporter,SLC6A3,Transporter,Dopamine transporter inhibitor
ASCIMINIB,[],Small molecule,neoplasm,"Bcr/Abl fusion protein, Tyrosine-protein kinase ABL1","ABL1, BCR","Enzyme, Other cytosolic protein, Unclassified protein","Bcr/Abl fusion protein inhibitor, Tyrosine-protein kinase ABL inhibitor"
ASCIMINIB HYDROCHLORIDE,['Scemblix'],Small molecule,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, chronic myelogenous leukemia",Bcr/Abl fusion protein,"ABL1, BCR","Enzyme, Other cytosolic protein, Unclassified protein",Bcr/Abl fusion protein inhibitor
ASENAPINE,['Secuado' 'Sycrest'],Small molecule,"bipolar I disorder, psychosis, schizophrenia","5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
ASENAPINE MALEATE,['Saphris' 'Sycrest'],Small molecule,"bipolar I disorder, bipolar disorder, schizophrenia","5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
ASPIRIN,"['8-hour bayer' 'Acetosalic acid' 'Acetylsalic acid' 'Alka rapid'
 'Anadin all night' 'Angettes 75' 'Aspirin' 'Aspirin component of -pc'
 'Aspirin component of aggrenox' 'Aspirin component of axotal'
 'Aspirin component of azdone'
 'Aspirin component of carisoprodol compound'
 'Aspirin component of clopidogrel/acetylsalicylic acid'
 'Aspirin component of codoxy' 'Aspirin component of darvon compound'
 'Aspirin component of duocover' 'Aspirin component of duoplavin'
 'Aspirin component of equagesic' 'Aspirin component of excedrin'
 'Aspirin component of fiorinal' 'Aspirin component of invagesic'
 'Aspirin component of invagesic forte' 'Aspirin component of lanorinal'
 'Aspirin component of mepro-' 'Aspirin component of micrainin'
 'Aspirin component of norgesic' 'Aspirin component of orphengesic'
 'Aspirin component of orphengesic forte' 'Aspirin component of pa-32540'
 'Aspirin component of percodan' 'Aspirin component of percodan-demi'
 'Aspirin component of pl2200' 'Aspirin component of pravigard pac'
 'Aspirin component of q-gesic' 'Aspirin component of robaxisal'
 'Aspirin component of roxiprin' 'Aspirin component of soma compound'
 'Aspirin component of synalgos-dc' 'Aspirin component of talwin compound'
 'Aspirin component of vicoprin' 'Aspirin component of yosprala'
 'Aspro clr' 'Bayer extra strength aspirin for migraine pain' 'Danamep'
 'Disprin cv' 'Disprin direct' 'Durlaza' 'Enprin' 'Equi-prin' 'Gencardia'
 'Levius' 'Max strgh aspro clr' 'Measurin' 'Micropirin ec' 'Nu-seals 300'
 'Nu-seals 600' 'Nu-seals 75' 'Nu-seals cardio 75' 'Paynocil' 'Platet'
 'Platet 300' 'Postmi 300' 'Postmi 75' 'Salicylic acid acetate' 'Vazalore']",Small molecule,"Back pain, Dysmenorrhea, Fever, Headache, Muscle spasm, Myalgia, Pain, Recurrent thrombophlebitis, acute myocardial infarction, arthritis, common cold, coronary artery disease, migraine disorder, muscle cramp, myocardial infarction, non-allergic rhinitis, stroke, thrombotic disease, toothache",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
ASTEMIZOLE,['Hismanal' 'Pollon-eze'],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
ATALUREN,['Translarna'],Small molecule,Duchenne muscular dystrophy,80S Ribosome,"FAU, RPL10, RPL10A, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL37, RPL37A, RPL38, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPLP0, RPLP1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA","Other cytosolic protein, Unclassified protein",80S Ribosome modulator
ATENOLOL,"['Antipressan' 'Atenamin' 'Atenix-100' 'Atenix-25' 'Atenix-50' 'Atenolol'
 'Atenolol component of polycap' 'Atenolol component of tenoretic'
 'Ibinolo' 'Kentol' 'Tenormin' 'Tenormin 25' 'Tenormin l.s.' 'Totamol'
 'Unibloc' 'Vasaten']",Small molecule,"angina pectoris, cardiovascular disease, coronary atherosclerosis, diabetes mellitus, hypertension, myocardial infarction, stroke",Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
ATEZOLIZUMAB,['Atezolizumab component of tecentriq hybreza' 'Tecentriq'],Antibody,"Transitional Cell Carcinoma, benign urinary system neoplasm, breast cancer, breast neoplasm, lung cancer, neoplasm, non-small cell lung carcinoma, small cell lung carcinoma, urothelial carcinoma",Programmed cell death 1 ligand 1,CD274,Unclassified protein,Programmed cell death 1 ligand 1 inhibitor
ATIDARSAGENE AUTOTEMCEL,['Lenmeldy' 'Libmeldy'],Gene,metachromatic leukodystrophy,ARSA,ARSA,Enzyme,ARSA exogenous gene
ATOGEPANT,['Aquipta' 'Qulipta'],Small molecule,migraine disorder,Calcitonin gene-related peptide type 1 receptor,CALCRL,"Membrane receptor, Unclassified protein",Calcitonin gene-related peptide type 1 receptor antagonist
ATOMOXETINE,"['Atomoxetine component of ad-109' 'Atomoxetine component of ad-313'
 'Atomoxetine component of ad109' 'Atomoxetine component of ad313']",Small molecule,attention deficit hyperactivity disorder,Sodium-dependent noradrenaline transporter,SLC6A2,Transporter,Norepinephrine transporter inhibitor
ATOMOXETINE HYDROCHLORIDE,['Atomoxetine hydrochloride' 'Strattera'],Small molecule,attention deficit hyperactivity disorder,Sodium-dependent noradrenaline transporter,SLC6A2,Transporter,Norepinephrine transporter inhibitor
ATORVASTATIN,['Cardyl' 'Lipitor' 'Prevencor' 'Sortis' 'Tahor' 'Zarator'],Small molecule,cardiovascular disease,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,"Enzyme, Unclassified protein",HMG-CoA reductase inhibitor
ATORVASTATIN CALCIUM,"['Atorvaliq' 'Atorvastatin calcium'
 'Atorvastatin calcium component of caduet'
 'Atorvastatin calcium component of liptruzet'
 'Atorvastatin calcium component of ocustatin   trihydrate' 'Lipitor'
 'Torvast' 'Totalip']",Small molecule,"Abnormal circulating lipid concentration, Hypercholesterolemia, acute myocardial infarction, angina pectoris, congestive heart failure, coronary artery disease, familial hypercholesterolemia, hyperlipidemia, hypertension, myocardial infarction, stroke",3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,"Enzyme, Unclassified protein",HMG-CoA reductase inhibitor
ATOSIBAN ACETATE,['Atosiban sun' 'Tractocile'],Protein,premature birth,Oxytocin receptor,OXTR,Membrane receptor,Oxytocin receptor antagonist
ATROPINE,"['Atroject' 'Atropen' 'Atrophate' 'Atropine' 'Atropine (autoinjector)'
 'Atropine component of atnaa' 'Atropine component of duodote']",Small molecule,"Mydriasis, gastrointestinal disease, poisoning","Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M2, Muscarinic acetylcholine receptor M3","CHRM1, CHRM2, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M1 antagonist, Muscarinic acetylcholine receptor M2 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
ATROPINE SULFATE,"['Atropine sulfate' 'Atropine sulfate ansyr plastic syringe'
 'Atropine sulfate component of colonaid'
 'Atropine sulfate component of di-atro'
 'Atropine sulfate component of enlon-plus'
 'Atropine sulfate component of lo-trol'
 'Atropine sulfate component of logen'
 'Atropine sulfate component of lomanate'
 'Atropine sulfate component of lomotil'
 'Atropine sulfate component of lonox'
 'Atropine sulfate component of low-quel'
 'Atropine sulfate component of motofen'
 'Atropine sulfate lifeshield abboject syringe' 'Atropisol'
 'Isopto atropine']",Small molecule,"Mydriasis, Parkinson disease, Peptic ulcer, allergic rhinitis, seasonal allergic rhinitis","Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M2, Muscarinic acetylcholine receptor M3","CHRM1, CHRM2, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M1 antagonist, Muscarinic acetylcholine receptor M2 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE,['Strimvelis'],Unknown,severe combined immunodeficiency,ADA,ADA,Enzyme,ADA exogenous gene
AVACOPAN,['Tavneos'],Small molecule,"Granulomatosis with Polyangiitis, anti-neutrophil cytoplasmic antibody-associated vasculitis, microscopic polyangiitis",C5a anaphylatoxin chemotactic receptor 1,C5AR1,Membrane receptor,C5a anaphylatoxin chemotactic receptor antagonist
AVANAFIL,['Spedra' 'Stendra'],Small molecule,"Impotence, erectile dysfunction","cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,Enzyme,Phosphodiesterase 5A inhibitor
AVAPRITINIB,['Ayvakit' 'Ayvakyt'],Small molecule,"gastrointestinal stromal tumor, neoplasm","Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor alpha","KIT, PDGFRA",Enzyme,"Platelet-derived growth factor receptor alpha inhibitor, Stem cell growth factor receptor inhibitor"
AVATROMBOPAG,[],Small molecule,hemorrhage,Thrombopoietin receptor,MPL,Membrane receptor,Thrombopoietin receptor agonist
AVATROMBOPAG MALEATE,['Doptelet'],Small molecule,"Thrombocytopenia, liver disease",Thrombopoietin receptor,MPL,Membrane receptor,Thrombopoietin receptor agonist
AVELUMAB,['Bavencio'],Antibody,"Merkel cell skin cancer, neoplasm, neuroendocrine neoplasm, urothelial carcinoma",Programmed cell death 1 ligand 1,CD274,Unclassified protein,Programmed cell death 1 ligand 1 other
AXICABTAGENE CILOLEUCEL,['Yescarta'],Gene,"diffuse large B-cell lymphoma, follicular lymphoma",B-lymphocyte antigen CD19,CD19,Surface antigen,B-lymphocyte antigen CD19 binding agent
AXITINIB,['Inlyta'],Small molecule,"neoplasm, renal cell carcinoma",Vascular endothelial growth factor receptor,"FLT1, FLT4, KDR","Enzyme, Secreted protein, Unclassified protein",Vascular endothelial growth factor receptor inhibitor
AZACITIDINE,"['Azacitidine' 'Azacitidine accord' 'Azacitidine betapharm'
 'Azacitidine celgene' 'Azacitidine kabi' 'Azacitidine mylan' 'Onureg'
 'Vidaza']",Small molecule,"acute myeloid leukemia, chronic myelomonocytic leukemia, myelodysplastic syndrome, neoplasm, refractory anemia with excess blasts","DNA (cytosine-5)-methyltransferase 1, DNA (cytosine-5)-methyltransferase 3A","DNMT1, DNMT3A",Epigenetic regulator,"DNA (cytosine-5)-methyltransferase 1 inhibitor, DNA (cytosine-5)-methyltransferase 3A inhibitor"
